author_qid,pubDate,goodreads_id,title,authorLabel,work_qid,year,n_nom,n_win,awards_as_of_year,age,birth_country,gender,topicality,max,count,median
Q1444345,1988-07-01T00:00:00Z,,Fire on the Mountain,Terry Bisson,Q5451628,1989,1,0,1,47.0,United States,male,-0.30855393866517916,,,
Q1444345,1990-07-01T00:00:00Z,,Voyage to the Red Planet,Terry Bisson,Q131376397,1991,1,0,2,49.0,United States,male,0.42937554369408054,,,
Q1444345,1996-04-01T00:00:00Z,,Pirates of the Universe,Terry Bisson,Q131376754,1997,1,0,17,55.0,United States,male,0.6298392770889696,,,
Q1444345,1997-09-01T00:00:00Z,250974.0,Saint Leibowitz and the Wild Horse Woman,Terry Bisson,Q3203920,1998,1,0,20,56.0,United States,male,0.9550600936934444,,,
Q1444345,2001-04-01T00:00:00Z,,The Pickup Artist,Terry Bisson,Q131381208,2002,1,0,29,60.0,United States,male,0.9151647291686065,,,
Q1444345,2012-03-01T00:00:00Z,,Any Day Now,Terry Bisson,Q131382201,2013,2,0,41,71.0,United States,male,0.1531621290166157,,,
Q14949582,2010-06-01T00:00:00Z,,Redemption in Indigo,Karen Lord,Q125817770,2011,1,0,0,43.0,Barbados,female,0.20721535816091877,,,
Q14949582,2013-01-31T00:00:00Z,,The Best of All Possible Worlds,Karen Lord,Q131382237,2014,1,0,1,46.0,Barbados,female,0.29366557041469693,,,
Q151720,2015-04-07T00:00:00Z,,The Grace of Kings,Ken Liu,Q30030695,2016,1,0,20,40.0,People's Republic of China,male,0.1894460106172408,,,
Q153701,2010-06-03T00:00:00Z,2802546.0,The Passage,Justin Cronin,Q1199882,2011,1,0,0,49.0,United States,male,0.19477070108961442,14.0,8.0,7.0
Q1546178,2003-03-01T00:00:00Z,,The Line of Polity,Neal Asher,Q7747410,2004,1,0,0,43.0,United Kingdom,male,-1.141827070352654,,,
Q1546178,2013-09-26T00:00:00Z,,Jupiter War,Neal Asher,Q131382258,2014,1,0,4,53.0,United Kingdom,male,0.29610752626705633,,,
Q154756,,68476.0,Invisible Cities,Italo Calvino,Q1219705,1976,1,0,0,53.0,Cuba,male,0.5413058766131805,,,
Q16198845,2014-09-09T00:00:00Z,28030792.0,City of Stairs,Robert Jackson Bennett,Q56046005,2015,1,0,2,31.0,United States,male,0.16916837927577852,,,
Q16204354,2013-10-01T00:00:00Z,24064628.0,Ancillary Justice,Ann Leckie,Q17001721,2014,2,2,1,48.0,United States,female,0.29636622703137533,,,
Q16204354,2014-10-07T00:00:00Z,40026175.0,Ancillary Sword,Ann Leckie,Q17989172,2015,2,1,2,49.0,United States,female,0.16625516099201326,,,
Q16204354,2015-10-06T00:00:00Z,43134689.0,Ancillary Mercy,Ann Leckie,Q18003141,2016,2,1,4,50.0,United States,female,0.18400298704787263,,,
Q16204354,2017-09-26T00:00:00Z,,Provenance,Ann Leckie,Q43336631,2018,2,0,9,52.0,United States,female,0.09522457811957646,,,
Q16204372,2016-06-01T00:00:00Z,,Ninefox Gambit,Yoon Ha Lee,Q56307799,2017,3,0,9,38.0,United States,trans man,0.13572443258306022,,,
Q16204372,2017-06-13T00:00:00Z,,Raven Stratagem,Yoon Ha Lee,Q62625624,2018,2,0,15,39.0,United States,trans man,0.09906235979515807,,,
Q16208205,2013-07-15T00:00:00Z,,Warbound,Larry Correia,Q122425405,2014,1,0,0,37.0,United States,male,-0.29288422104567896,,,
Q16211413,2017-09-05T00:00:00Z,,Sourdough,Robin Sloan,Q131382753,2018,1,0,0,39.0,United States,male,0.1091372515735598,,,
Q16221657,2011-04-25T00:00:00Z,,Mechanique: a Tale of the Circus Tresaulti,Genevieve Valentine,Q122452553,2012,1,0,0,31.0,,female,0.17722146681322046,,,
Q16221657,2015-03-10T00:00:00Z,,Persona,Genevieve Valentine,Q131382314,2016,1,0,8,35.0,,female,0.18017514795574185,,,
Q16221657,2016-06-28T00:00:00Z,,Icon,Genevieve Valentine,Q131382365,2017,1,0,9,36.0,,female,0.12759984217114623,,,
Q1633338,2000-01-01T00:00:00Z,,Eternity's End,Jeffrey Carver,Q122452547,2002,1,0,0,53.0,United States,male,-0.8937203156136103,,,
Q1669902,1979-10-01T00:00:00Z,,The Day of the Klesh,M. A. Foster,Q131374854,1980,1,0,1,41.0,United States,male,0.37084319923460835,,,
Q1669902,1980-10-01T00:00:00Z,,Waves,M. A. Foster,Q131374955,1981,1,0,2,42.0,United States,male,0.7385791779195358,,,
Q1669902,1983-04-01T00:00:00Z,,Transformer,M. A. Foster,Q131375488,1984,1,0,3,45.0,United States,male,-0.7019514812524291,,,
Q167821,1978-01-01T00:00:00Z,,Kalki,Gore Vidal,Q6353404,1979,1,0,0,54.0,United States,male,0.7772414831382497,15.0,9.0,10.0
Q1684007,2000-01-01T00:00:00Z,,The Grand Ellipse,Paula Volsky,Q131417542,2001,1,0,1,1.0,,female,1.1912788713879618,,,
Q1697118,1986-01-01T00:00:00Z,1804797.0,Replay,Ken Grimwood,Q1590481,1988,1,1,0,44.0,United States,male,0.5831264734589053,,,
Q1701097,1978-06-01T00:00:00Z,,The Road to Corlay,"John Middleton Murry, Jr.",Q122452526,1980,2,0,12,54.0,United Kingdom,male,0.32339791196434503,,,
Q1701769,1980-11-13T00:00:00Z,831113.0,Roderick,John Sladek,Q15034210,1983,1,0,0,46.0,United States,male,0.45742463151321255,,,
Q1701769,1983-01-01T00:00:00Z,,Roderick at Random,John Sladek,Q96402429,1984,1,0,1,47.0,United States,male,-1.019300783475029,,,
Q1701769,1983-10-01T00:00:00Z,,Tik-Tok,John Sladek,Q3939312,1984,2,0,1,47.0,United States,male,0.7273956091666839,,,
Q171091,1962-10-01T00:00:00Z,2398287.0,The Man in the High Castle,Philip K. Dick,Q749783,1963,0,1,0,35.0,United States,male,-0.3800251237406518,,,
Q171091,1974-02-01T00:00:00Z,949696.0,"Flow My Tears, the Policeman Said",Philip K. Dick,Q874492,1975,2,1,4,47.0,United States,male,0.6330158029982067,,,
Q171091,1981-01-01T00:00:00Z,1399387.0,The Divine Invasion,Philip K. Dick,Q1189364,1982,1,0,13,54.0,United States,male,-0.6245130682148043,,,
Q171091,1981-02-01T00:00:00Z,23607.0,Valis,Philip K. Dick,Q1320318,1982,1,0,13,54.0,United States,male,0.6246283556534348,,,
Q171091,1982-03-01T00:00:00Z,449786.0,The Transmigration of Timothy Archer,Philip K. Dick,Q1138582,1983,1,0,16,55.0,United States,male,-0.40769672607337953,,,
