wikipedia_url,work_qid
https://en.wikipedia.org/wiki/Gardens_of_the_Moon,Q441055
https://en.wikipedia.org/wiki/Under_the_Dome_(novel),Q435722
https://en.wikipedia.org/wiki/The_Difference_Engine,Q466103
https://en.wikipedia.org/wiki/Children_of_Dune,Q437365
https://en.wikipedia.org/wiki/City_of_Golden_Shadow,Q444451
https://en.wikipedia.org/wiki/Perfume_(novel),Q459303
https://en.wikipedia.org/wiki/Venus_Plus_X,Q429159
https://en.wikipedia.org/wiki/The_Annals_of_the_Heechee,Q467017
https://en.wikipedia.org/wiki/The_End_of_Eternity,Q466196
https://en.wikipedia.org/wiki/The_Algebraist,Q901913
https://en.wikipedia.org/wiki/Lisey%27s_Story,Q957123
https://en.wikipedia.org/wiki/Foundation%27s_Edge,Q932592
https://en.wikipedia.org/wiki/Stranger_in_a_Strange_Land,Q929821
https://en.wikipedia.org/wiki/All_Tomorrow%27s_Parties_(novel),Q900595
https://en.wikipedia.org/wiki/Tehanu,Q2261855
https://en.wikipedia.org/wiki/The_Player_of_Games,Q467139
https://en.wikipedia.org/wiki/Cetaganda,Q2253255
https://en.wikipedia.org/wiki/The_Postman,Q467225
https://en.wikipedia.org/wiki/Paladin_of_Souls,Q942972
https://en.wikipedia.org/wiki/The_Prestige,Q944991
https://en.wikipedia.org/wiki/The_Accidental_Time_Machine,Q937944
https://en.wikipedia.org/wiki/Never_Let_Me_Go_(novel),Q951587
https://en.wikipedia.org/wiki/The_Years_of_Rice_and_Salt,Q963586
https://en.wikipedia.org/wiki/Malevil,Q929165
https://en.wikipedia.org/wiki/The_Dead_Zone_(novel),Q466790
https://en.wikipedia.org/wiki/Double_Star,Q945382
https://en.wikipedia.org/wiki/A_Deepness_in_the_Sky,Q2292400
https://en.wikipedia.org/wiki/Accelerando,Q2300209
https://en.wikipedia.org/wiki/Speaker_for_the_Dead,Q2291295
https://en.wikipedia.org/wiki/Rama_Revealed,Q2283166
https://en.wikipedia.org/wiki/Time_Enough_for_Love,Q2274025
https://en.wikipedia.org/wiki/The_Sirens_of_Titan,Q2294155
https://en.wikipedia.org/wiki/Pattern_Recognition_(novel),Q2295976
https://en.wikipedia.org/wiki/Spin_(novel),Q2301398
https://en.wikipedia.org/wiki/Among_Others,Q2269230
https://en.wikipedia.org/wiki/Slow_River,Q2268557
https://en.wikipedia.org/wiki/The_Ringworld_Throne,Q2295267
https://en.wikipedia.org/wiki/Diplomatic_Immunity_(novel),Q3149129
https://en.wikipedia.org/wiki/Man_Plus,Q2377008
https://en.wikipedia.org/wiki/Startide_Rising,Q2363504
https://en.wikipedia.org/wiki/Speed_of_Dark,Q3120527
https://en.wikipedia.org/wiki/The_Fall_of_Hyperion_(novel),Q2362526
https://en.wikipedia.org/wiki/When_Gravity_Fails,Q3115799
https://en.wikipedia.org/wiki/Jack_Faust_(novel),Q3157174
https://en.wikipedia.org/wiki/Protector_(novel),Q2391947
https://en.wikipedia.org/wiki/Seventh_Son_(novel),Q3142271
https://en.wikipedia.org/wiki/Ivory:_A_Legend_of_Past_and_Future,Q3156335
https://en.wikipedia.org/wiki/The_Mist_(novella),Q2344912
https://en.wikipedia.org/wiki/Count_Zero,Q2384854
https://en.wikipedia.org/wiki/Where_Late_the_Sweet_Birds_Sang,Q3135306
https://en.wikipedia.org/wiki/Gloriana_(novel),Q3109139
https://en.wikipedia.org/wiki/Permutation_City,Q2364488
https://en.wikipedia.org/wiki/Brightness_Reef,Q3088925
https://en.wikipedia.org/wiki/Prentice_Alvin,Q3089022
https://en.wikipedia.org/wiki/Absolution_Gap,Q3090152
https://en.wikipedia.org/wiki/Spook_Country,Q2319431
https://en.wikipedia.org/wiki/Rama_II_(novel),Q2415562
https://en.wikipedia.org/wiki/Zero_History,Q2377147
https://en.wikipedia.org/wiki/The_Demolished_Man,Q2350387
https://en.wikipedia.org/wiki/Steel_Beach,Q3100824
https://en.wikipedia.org/wiki/Bug_Jack_Barron,Q3157123
https://en.wikipedia.org/wiki/His_Majesty%27s_Dragon,Q2335394
https://en.wikipedia.org/wiki/The_Hammer_of_God_(Clarke_novel),Q3140584
https://en.wikipedia.org/wiki/Noir_(novel),Q7047624
https://en.wikipedia.org/wiki/Od_Magic,Q7077188
https://en.wikipedia.org/wiki/Matriarch_(novel),Q6787788
https://en.wikipedia.org/wiki/Mainspring_(novel),Q6736735
https://en.wikipedia.org/wiki/Mars_Crossing,Q6773115
https://en.wikipedia.org/wiki/Leviathan_Wakes,Q6535598
https://en.wikipedia.org/wiki/King_David%27s_Spaceship,Q6411423
https://en.wikipedia.org/wiki/Nor_Crystal_Tears,Q7050019
https://en.wikipedia.org/wiki/On_My_Way_to_Paradise,Q7091078
https://en.wikipedia.org/wiki/The_Years_of_the_City,Q5980640
https://en.wikipedia.org/wiki/Lilith:_A_Snake_in_the_Grass,Q6547848
https://en.wikipedia.org/wiki/Incandescence_(novel),Q6014063
https://en.wikipedia.org/wiki/Macroscope_(novel),Q6725637
https://en.wikipedia.org/wiki/Only_Begotten_Daughter,Q7094153
https://en.wikipedia.org/wiki/Native_Tongue_(Elgin_novel),Q6980071
https://en.wikipedia.org/wiki/Lion%27s_Blood,Q6555310
https://en.wikipedia.org/wiki/Implied_Spaces,Q6007321
https://en.wikipedia.org/wiki/Limit_of_Vision,Q6549446
https://en.wikipedia.org/wiki/Not_This_August,Q7062211
https://en.wikipedia.org/wiki/Kalki_(novel),Q6353404
https://en.wikipedia.org/wiki/Mary_Reilly_(novel),Q6780592
https://en.wikipedia.org/wiki/Lord_Kelvin%27s_Machine,Q6679480
https://en.wikipedia.org/wiki/Once_a_Hero_(novel),Q7091899
https://en.wikipedia.org/wiki/Mindkiller,Q6863847
https://en.wikipedia.org/wiki/Janissaries_(novel),Q6154663
https://en.wikipedia.org/wiki/Oath_of_Fealty_(novel),Q7074477
https://en.wikipedia.org/wiki/Odyssey_(novel),Q7078419
https://en.wikipedia.org/wiki/Lincoln%27s_Dreams,Q6550348
https://en.wikipedia.org/wiki/Midnight_at_the_Well_of_Souls,Q6842848
