author_qid,pubDate,goodreads_id,title,authorLabel,work_qid,year,n_nom,n_win,awards_as_of_year,age,birth_country,gender
Q14949582,2023-08-29T00:00:00Z,,"The Blue, Beautiful World",Karen Lord,Q131382921,2024,1,0,3,56.0,Barbados,female
Q151720,2015-04-07T00:00:00Z,,The Grace of Kings,Ken Liu,Q30030695,2015,1,0,16,39.0,People's Republic of China,male
Q153701,2010-06-03T00:00:00Z,2802546.0,The Passage,Justin Cronin,Q1199882,2011,1,0,0,49.0,United States,male
Q1546178,2003-03-01T00:00:00Z,,The Line of Polity,Neal Asher,Q7747410,2004,1,0,0,43.0,United Kingdom,male
Q1546178,2013-09-26T00:00:00Z,,Jupiter War,Neal Asher,Q131382258,2014,1,0,4,53.0,United Kingdom,male
Q154756,,68476.0,Invisible Cities,Italo Calvino,Q1219705,1975,1,0,0,52.0,Cuba,male
Q16198845,2014-09-09T00:00:00Z,28030792.0,City of Stairs,Robert Jackson Bennett,Q56046005,2015,1,0,2,31.0,United States,male
Q16198845,2024-02-06T00:00:00Z,,The Tainted Cup,Robert Jackson Bennett,Q133842917,2025,1,0,11,41.0,United States,male
Q16203004,2019-06-18T00:00:00Z,,Empress of Forever,Max Gladstone,Q131382814,2020,1,0,6,36.0,,male
Q16204354,2013-10-01T00:00:00Z,24064628.0,Ancillary Justice,Ann Leckie,Q17001721,2014,2,2,1,48.0,United States,female
Q16204354,2014-10-07T00:00:00Z,40026175.0,Ancillary Sword,Ann Leckie,Q17989172,2015,2,1,3,49.0,United States,female
Q16204354,2015-10-06T00:00:00Z,43134689.0,Ancillary Mercy,Ann Leckie,Q18003141,2016,3,1,5,50.0,United States,female
Q16204354,2017-09-26T00:00:00Z,,Provenance,Ann Leckie,Q43336631,2018,2,0,9,52.0,United States,female
Q16204354,2019-02-26T00:00:00Z,61051116.0,The Raven Tower,Ann Leckie,Q69566723,2020,1,0,11,54.0,United States,female
Q16204354,2023-06-06T00:00:00Z,,Translation State,Ann Leckie,Q120482895,2024,3,0,14,58.0,United States,female
Q16204372,2016-06-01T00:00:00Z,,Ninefox Gambit,Yoon Ha Lee,Q56307799,2017,3,0,10,38.0,United States,trans man
